asset,day,date,vol_forecast_ann_pct,current_vol_ann_pct,direction
SPY,today,2026-07-31,11.1,9.3,rising
SPY,tomorrow,2026-08-03,11.9,9.3,rising
SPY,day_3,2026-08-04,12.1,9.3,rising
SPY,day_4,2026-08-05,12.2,9.3,rising
SPY,day_5,2026-08-06,12.1,9.3,rising
QQQ,today,2026-07-31,18.2,14.8,rising
QQQ,tomorrow,2026-08-03,19.4,14.8,rising
QQQ,day_3,2026-08-04,19.5,14.8,rising
QQQ,day_4,2026-08-05,19.3,14.8,rising
QQQ,day_5,2026-08-06,18.9,14.8,rising
IWM,today,2026-07-31,15.0,14.2,rising
IWM,tomorrow,2026-08-03,15.5,14.2,rising
IWM,day_3,2026-08-04,15.6,14.2,rising
IWM,day_4,2026-08-05,15.5,14.2,rising
IWM,day_5,2026-08-06,15.6,14.2,rising
AAPL,today,2026-07-31,22.0,17.4,rising
AAPL,tomorrow,2026-08-03,23.1,17.4,rising
AAPL,day_3,2026-08-04,23.7,17.4,rising
AAPL,day_4,2026-08-05,23.6,17.4,rising
AAPL,day_5,2026-08-06,23.6,17.4,rising
MSFT,today,2026-07-31,35.9,59.3,falling
MSFT,tomorrow,2026-08-03,33.1,59.3,falling
MSFT,day_3,2026-08-04,33.0,59.3,falling
MSFT,day_4,2026-08-05,33.5,59.3,falling
MSFT,day_5,2026-08-06,33.7,59.3,falling
JPM,today,2026-07-31,22.1,20.1,rising
JPM,tomorrow,2026-08-03,23.1,20.1,rising
JPM,day_3,2026-08-04,23.5,20.1,rising
JPM,day_4,2026-08-05,23.9,20.1,rising
JPM,day_5,2026-08-06,23.8,20.1,rising
XOM,today,2026-07-31,21.7,20.1,rising
XOM,tomorrow,2026-08-03,22.2,20.1,rising
XOM,day_3,2026-08-04,22.6,20.1,rising
XOM,day_4,2026-08-05,22.2,20.1,rising
XOM,day_5,2026-08-06,22.2,20.1,rising
JNJ,today,2026-07-31,22.9,22.9,rising
JNJ,tomorrow,2026-08-03,23.2,22.9,rising
JNJ,day_3,2026-08-04,23.1,22.9,rising
JNJ,day_4,2026-08-05,22.1,22.9,rising
JNJ,day_5,2026-08-06,22.2,22.9,rising
EURUSD,today,2026-07-31,7.5,8.1,falling
EURUSD,tomorrow,2026-08-03,7.8,8.1,falling
EURUSD,day_3,2026-08-04,8.3,8.1,falling
EURUSD,day_4,2026-08-05,9.0,8.1,falling
EURUSD,day_5,2026-08-06,9.0,8.1,falling
USDJPY,today,2026-07-31,19.1,33.2,falling
USDJPY,tomorrow,2026-08-03,18.4,33.2,falling
USDJPY,day_3,2026-08-04,19.0,33.2,falling
USDJPY,day_4,2026-08-05,19.7,33.2,falling
USDJPY,day_5,2026-08-06,18.7,33.2,falling
GBPUSD,today,2026-07-31,8.8,9.2,falling
GBPUSD,tomorrow,2026-08-03,9.4,9.2,falling
GBPUSD,day_3,2026-08-04,10.3,9.2,falling
GBPUSD,day_4,2026-08-05,11.4,9.2,falling
GBPUSD,day_5,2026-08-06,11.7,9.2,falling
